שם תחנה,מספר תחנה,תאריך,טמפרטורת מקסימום(C°),טמפרטורת מינימום(C°),טמפרטורת מינימום ליד הקרקע(C°),משך זהירת שמש(דקות),התאדות יומית מגיגית סוג א'(מ"מ),קוד התאדות יומית()
בית דגן מאוישת                                    ,2520,22-02-2020,-,-,-,-,1.5,0
בית דגן מאוישת                                    ,2520,23-02-2020,-,-,-,-,2.2,0
בית דגן מאוישת                                    ,2520,24-02-2020,-,-,-,-,1.6,0
בית דגן מאוישת                                    ,2520,25-02-2020,-,-,-,-,2.7,0
בית דגן מאוישת                                    ,2520,26-02-2020,-,-,-,-,2.2,0
בית דגן מאוישת                                    ,2520,27-02-2020,-,-,-,-,3.1,0
בית דגן מאוישת                                    ,2520,28-02-2020,-,-,-,-,2.8,0
בית דגן מאוישת                                    ,2520,29-02-2020,-,-,-,-,-,-
בית דגן מאוישת                                    ,2520,01-03-2020,-,-,-,-,4.0,0
בית דגן מאוישת                                    ,2520,02-03-2020,-,-,-,-,2.8,0
בית דגן מאוישת                                    ,2520,03-03-2020,-,-,-,-,4.4,0
בית דגן מאוישת                                    ,2520,04-03-2020,-,-,-,-,3.5,0
בית דגן מאוישת                                    ,2520,05-03-2020,-,-,-,-,4.0,0
בית דגן מאוישת                                    ,2520,06-03-2020,-,-,-,-,-,-
בית דגן מאוישת                                    ,2520,07-03-2020,-,-,-,-,-,-
בית דגן מאוישת                                    ,2520,08-03-2020,-,-,-,-,-,-
בית דגן מאוישת                                    ,2520,09-03-2020,-,-,-,-,-,-
בית דגן מאוישת                                    ,2520,10-03-2020,-,-,-,-,-,-
בית דגן מאוישת                                    ,2520,11-03-2020,-,-,-,-,-,-
בית דגן מאוישת                                    ,2520,12-03-2020,-,-,-,-,-,-
בית דגן מאוישת                                    ,2520,13-03-2020,-,-,-,-,-,-
בית דגן מאוישת                                    ,2520,14-03-2020,-,-,-,-,-,-
בית דגן מאוישת                                    ,2520,15-03-2020,-,-,-,-,-,-
בית דגן מאוישת                                    ,2520,16-03-2020,-,-,-,-,-,-
בית דגן מאוישת                                    ,2520,17-03-2020,-,-,-,-,-,-
בית דגן מאוישת                                    ,2520,18-03-2020,-,-,-,-,-,-
בית דגן מאוישת                                    ,2520,19-03-2020,-,-,-,-,-,-
בית דגן מאוישת                                    ,2520,20-03-2020,-,-,-,-,-,-
בית דגן מאוישת                                    ,2520,21-03-2020,-,-,-,-,-,-
בית דגן מאוישת                                    ,2520,22-03-2020,-,-,-,-,-,-
בית דגן מאוישת                                    ,2520,23-03-2020,-,-,-,-,-,-
בית דגן מאוישת                                    ,2520,24-03-2020,-,-,-,-,4.0,0
בית דגן מאוישת                                    ,2520,25-03-2020,-,-,-,-,4.3,0
בית דגן מאוישת                                    ,2520,26-03-2020,-,-,-,-,3.4,0
בית דגן מאוישת                                    ,2520,27-03-2020,-,-,-,-,4.2,0
בית דגן מאוישת                                    ,2520,28-03-2020,-,-,-,-,4.0,0
בית דגן מאוישת                                    ,2520,29-03-2020,-,-,-,-,5.8,0
בית דגן מאוישת                                    ,2520,30-03-2020,-,-,-,-,4.7,0
בית דגן מאוישת                                    ,2520,31-03-2020,-,-,-,-,3.4,0
בית דגן מאוישת                                    ,2520,01-04-2020,-,-,-,-,3.3,0
בית דגן מאוישת                                    ,2520,02-04-2020,-,-,-,-,3.4,0
בית דגן מאוישת                                    ,2520,03-04-2020,-,-,-,-,5.6,0
בית דגן מאוישת                                    ,2520,04-04-2020,-,-,-,-,7.1,0
בית דגן מאוישת                                    ,2520,05-04-2020,-,-,-,-,5.0,0
בית דגן מאוישת                                    ,2520,06-04-2020,-,-,-,-,5.3,0
בית דגן מאוישת                                    ,2520,07-04-2020,-,-,-,-,3.0,0
בית דגן מאוישת                                    ,2520,08-04-2020,-,-,-,-,6.0,0
בית דגן מאוישת                                    ,2520,09-04-2020,-,-,-,-,2.8,0
בית דגן מאוישת                                    ,2520,10-04-2020,-,-,-,-,-,0
בית דגן מאוישת                                    ,2520,11-04-2020,-,-,-,-,2.3,0
בית דגן מאוישת                                    ,2520,12-04-2020,-,-,-,-,-,-
בית דגן מאוישת                                    ,2520,13-04-2020,-,-,-,-,3.9,0
בית דגן מאוישת                                    ,2520,14-04-2020,-,-,-,-,5.0,0
בית דגן מאוישת                                    ,2520,15-04-2020,-,-,-,-,5.4,0
בית דגן מאוישת                                    ,2520,16-04-2020,-,-,-,-,1.5,0
בית דגן מאוישת                                    ,2520,17-04-2020,-,-,-,-,4.8,0
בית דגן מאוישת                                    ,2520,18-04-2020,-,-,-,-,4.5,0
בית דגן מאוישת                                    ,2520,19-04-2020,-,-,-,-,4.8,0
בית דגן מאוישת                                    ,2520,20-04-2020,-,-,-,-,6.2,0
בית דגן מאוישת                                    ,2520,21-04-2020,-,-,-,-,5.2,0
בית דגן מאוישת                                    ,2520,22-04-2020,-,-,-,-,6.0,0
בית דגן מאוישת                                    ,2520,23-04-2020,-,-,-,-,5.8,0
בית דגן מאוישת                                    ,2520,24-04-2020,-,-,-,-,4.6,0
בית דגן מאוישת                                    ,2520,25-04-2020,-,-,-,-,5.6,0
בית דגן מאוישת                                    ,2520,26-04-2020,-,-,-,-,6.1,0
בית דגן מאוישת                                    ,2520,27-04-2020,-,-,-,-,4.4,0
בית דגן מאוישת                                    ,2520,28-04-2020,-,-,-,-,6.0,0
בית דגן מאוישת                                    ,2520,29-04-2020,-,-,-,-,5.2,0
בית דגן מאוישת                                    ,2520,30-04-2020,-,-,-,-,4.3,0
בית דגן מאוישת                                    ,2520,01-05-2020,-,-,-,-,7.5,0
בית דגן מאוישת                                    ,2520,02-05-2020,-,-,-,-,5.2,0
בית דגן מאוישת                                    ,2520,03-05-2020,-,-,-,-,5.5,0
בית דגן מאוישת                                    ,2520,04-05-2020,-,-,-,-,5.8,0
בית דגן מאוישת                                    ,2520,05-05-2020,-,-,-,-,4.0,0
בית דגן מאוישת                                    ,2520,06-05-2020,-,-,-,-,5.4,0
בית דגן מאוישת                                    ,2520,07-05-2020,-,-,-,-,5.4,0
בית דגן מאוישת                                    ,2520,08-05-2020,-,-,-,-,7.1,0
בית דגן מאוישת                                    ,2520,09-05-2020,-,-,-,-,3.4,0
בית דגן מאוישת                                    ,2520,10-05-2020,-,-,-,-,6.3,0
בית דגן מאוישת                                    ,2520,11-05-2020,-,-,-,-,5.0,0
בית דגן מאוישת                                    ,2520,12-05-2020,-,-,-,-,5.8,0
בית דגן מאוישת                                    ,2520,13-05-2020,-,-,-,-,5.6,0
בית דגן מאוישת                                    ,2520,14-05-2020,-,-,-,-,7.5,0
בית דגן מאוישת                                    ,2520,15-05-2020,-,-,-,-,-,1
בית דגן מאוישת                                    ,2520,16-05-2020,-,-,-,-,16.0,2
בית דגן מאוישת                                    ,2520,17-05-2020,-,-,-,-,12.6,0
בית דגן מאוישת                                    ,2520,18-05-2020,-,-,-,-,13.9,0
בית דגן מאוישת                                    ,2520,19-05-2020,-,-,-,-,12.2,0
בית דגן מאוישת                                    ,2520,20-05-2020,-,-,-,-,12.5,0
בית דגן מאוישת                                    ,2520,21-05-2020,-,-,-,-,9.9,0
בית דגן מאוישת                                    ,2520,22-05-2020,-,-,-,-,8.1,0
בית דגן מאוישת                                    ,2520,23-05-2020,-,-,-,-,7.5,0
בית דגן מאוישת                                    ,2520,24-05-2020,-,-,-,-,7.9,0
בית דגן מאוישת                                    ,2520,25-05-2020,-,-,-,-,6.4,0
בית דגן מאוישת                                    ,2520,26-05-2020,-,-,-,-,6.7,0
בית דגן מאוישת                                    ,2520,27-05-2020,-,-,-,-,5.9,0
בית דגן מאוישת                                    ,2520,28-05-2020,-,-,-,-,7.3,0
בית דגן מאוישת                                    ,2520,29-05-2020,-,-,-,-,8.0,0
בית דגן מאוישת                                    ,2520,30-05-2020,-,-,-,-,6.2,0
בית דגן מאוישת                                    ,2520,31-05-2020,-,-,-,-,7.1,0
בית דגן מאוישת                                    ,2520,01-06-2020,-,-,-,-,6.7,0
בית דגן מאוישת                                    ,2520,02-06-2020,-,-,-,-,6.7,0
בית דגן מאוישת                                    ,2520,03-06-2020,-,-,-,-,6.3,0
בית דגן מאוישת                                    ,2520,04-06-2020,-,-,-,-,7.3,0
בית דגן מאוישת                                    ,2520,05-06-2020,-,-,-,-,-,1
בית דגן מאוישת                                    ,2520,06-06-2020,-,-,-,-,15.7,2
בית דגן מאוישת                                    ,2520,07-06-2020,-,-,-,-,6.8,0
בית דגן מאוישת                                    ,2520,08-06-2020,-,-,-,-,6.7,0
בית דגן מאוישת                                    ,2520,09-06-2020,-,-,-,-,6.0,0
בית דגן מאוישת                                    ,2520,10-06-2020,-,-,-,-,6.9,0
בית דגן מאוישת                                    ,2520,11-06-2020,-,-,-,-,5.9,0
בית דגן מאוישת                                    ,2520,12-06-2020,-,-,-,-,7.5,0
בית דגן מאוישת                                    ,2520,13-06-2020,-,-,-,-,8.1,0
בית דגן מאוישת                                    ,2520,14-06-2020,-,-,-,-,7.7,0
בית דגן מאוישת                                    ,2520,15-06-2020,-,-,-,-,6.7,0
בית דגן מאוישת                                    ,2520,16-06-2020,-,-,-,-,6.7,0
בית דגן מאוישת                                    ,2520,17-06-2020,-,-,-,-,7.6,0
בית דגן מאוישת                                    ,2520,18-06-2020,-,-,-,-,6.0,0
בית דגן מאוישת                                    ,2520,19-06-2020,-,-,-,-,7.9,0
בית דגן מאוישת                                    ,2520,20-06-2020,-,-,-,-,6.1,0
בית דגן מאוישת                                    ,2520,21-06-2020,-,-,-,-,6.7,0
בית דגן מאוישת                                    ,2520,22-06-2020,-,-,-,-,7.4,0
בית דגן מאוישת                                    ,2520,23-06-2020,-,-,-,-,6.9,0
בית דגן מאוישת                                    ,2520,24-06-2020,-,-,-,-,7.8,0
בית דגן מאוישת                                    ,2520,25-06-2020,-,-,-,-,6.7,0
בית דגן מאוישת                                    ,2520,26-06-2020,-,-,-,-,6.9,0
בית דגן מאוישת                                    ,2520,27-06-2020,-,-,-,-,5.9,0
בית דגן מאוישת                                    ,2520,28-06-2020,-,-,-,-,5.4,0
בית דגן מאוישת                                    ,2520,29-06-2020,-,-,-,-,6.8,0
בית דגן מאוישת                                    ,2520,30-06-2020,-,-,-,-,6.2,0
בית דגן מאוישת                                    ,2520,01-07-2020,-,-,-,-,7.2,0
בית דגן מאוישת                                    ,2520,02-07-2020,-,-,-,-,6.9,0
בית דגן מאוישת                                    ,2520,03-07-2020,-,-,-,-,8.4,0
בית דגן מאוישת                                    ,2520,04-07-2020,-,-,-,-,6.8,0
בית דגן מאוישת                                    ,2520,05-07-2020,-,-,-,-,6.3,0
בית דגן מאוישת                                    ,2520,06-07-2020,-,-,-,-,6.8,0
בית דגן מאוישת                                    ,2520,07-07-2020,-,-,-,-,6.5,0
בית דגן מאוישת                                    ,2520,08-07-2020,-,-,-,-,7.9,0
בית דגן מאוישת                                    ,2520,09-07-2020,-,-,-,-,7.3,0
בית דגן מאוישת                                    ,2520,10-07-2020,-,-,-,-,6.6,0
בית דגן מאוישת                                    ,2520,11-07-2020,-,-,-,-,6.1,0
בית דגן מאוישת                                    ,2520,12-07-2020,-,-,-,-,6.9,0
בית דגן מאוישת                                    ,2520,13-07-2020,-,-,-,-,6.5,0
בית דגן מאוישת                                    ,2520,14-07-2020,-,-,-,-,6.5,0
בית דגן מאוישת                                    ,2520,15-07-2020,-,-,-,-,6.8,0
בית דגן מאוישת                                    ,2520,16-07-2020,-,-,-,-,7.3,0
בית דגן מאוישת                                    ,2520,17-07-2020,-,-,-,-,8.7,0
בית דגן מאוישת                                    ,2520,18-07-2020,-,-,-,-,6.8,0
בית דגן מאוישת                                    ,2520,19-07-2020,-,-,-,-,7.0,0
בית דגן מאוישת                                    ,2520,20-07-2020,-,-,-,-,6.6,0
בית דגן מאוישת                                    ,2520,21-07-2020,-,-,-,-,6.9,0
בית דגן מאוישת                                    ,2520,22-07-2020,-,-,-,-,7.5,0
בית דגן מאוישת                                    ,2520,23-07-2020,-,-,-,-,6.7,0
בית דגן מאוישת                                    ,2520,24-07-2020,-,-,-,-,6.2,0
בית דגן מאוישת                                    ,2520,25-07-2020,-,-,-,-,7.5,0
בית דגן מאוישת                                    ,2520,26-07-2020,-,-,-,-,6.8,0
בית דגן מאוישת                                    ,2520,27-07-2020,-,-,-,-,7.1,0
בית דגן מאוישת                                    ,2520,28-07-2020,-,-,-,-,6.7,0
בית דגן מאוישת                                    ,2520,29-07-2020,-,-,-,-,6.9,0
בית דגן מאוישת                                    ,2520,30-07-2020,-,-,-,-,7.5,0
בית דגן מאוישת                                    ,2520,31-07-2020,-,-,-,-,7.0,0
בית דגן מאוישת                                    ,2520,01-08-2020,-,-,-,-,6.2,0
בית דגן מאוישת                                    ,2520,02-08-2020,-,-,-,-,7.3,0
בית דגן מאוישת                                    ,2520,03-08-2020,-,-,-,-,8.1,0
בית דגן מאוישת                                    ,2520,04-08-2020,-,-,-,-,6.7,0
בית דגן מאוישת                                    ,2520,05-08-2020,-,-,-,-,7.2,0
בית דגן מאוישת                                    ,2520,06-08-2020,-,-,-,-,6.7,0
בית דגן מאוישת                                    ,2520,07-08-2020,-,-,-,-,8.3,0
בית דגן מאוישת                                    ,2520,08-08-2020,-,-,-,-,7.3,0
בית דגן מאוישת                                    ,2520,09-08-2020,-,-,-,-,7.4,0
בית דגן מאוישת                                    ,2520,10-08-2020,-,-,-,-,6.9,0
בית דגן מאוישת                                    ,2520,11-08-2020,-,-,-,-,6.8,0
בית דגן מאוישת                                    ,2520,12-08-2020,-,-,-,-,6.3,0
בית דגן מאוישת                                    ,2520,13-08-2020,-,-,-,-,6.0,0
בית דגן מאוישת                                    ,2520,14-08-2020,-,-,-,-,7.4,0
בית דגן מאוישת                                    ,2520,15-08-2020,-,-,-,-,6.4,0
בית דגן מאוישת                                    ,2520,16-08-2020,-,-,-,-,7.4,0
בית דגן מאוישת                                    ,2520,17-08-2020,-,-,-,-,6.7,0
בית דגן מאוישת                                    ,2520,18-08-2020,-,-,-,-,5.6,0
בית דגן מאוישת                                    ,2520,19-08-2020,-,-,-,-,7.6,0
בית דגן מאוישת                                    ,2520,20-08-2020,-,-,-,-,8.0,0
בית דגן מאוישת                                    ,2520,21-08-2020,-,-,-,-,6.1,0
בית דגן מאוישת                                    ,2520,22-08-2020,-,-,-,-,7.0,0
בית דגן מאוישת                                    ,2520,23-08-2020,-,-,-,-,6.0,0
בית דגן מאוישת                                    ,2520,24-08-2020,-,-,-,-,8.6,0
בית דגן מאוישת                                    ,2520,25-08-2020,-,-,-,-,6.8,0
בית דגן מאוישת                                    ,2520,26-08-2020,-,-,-,-,6.8,0
בית דגן מאוישת                                    ,2520,27-08-2020,-,-,-,-,7.4,0
בית דגן מאוישת                                    ,2520,28-08-2020,-,-,-,-,6.4,0
בית דגן מאוישת                                    ,2520,29-08-2020,-,-,-,-,6.1,0
בית דגן מאוישת                                    ,2520,30-08-2020,-,-,-,-,5.9,0
בית דגן מאוישת                                    ,2520,31-08-2020,-,-,-,-,7.4,0
בית דגן מאוישת                                    ,2520,01-09-2020,-,-,-,-,6.3,0
בית דגן מאוישת                                    ,2520,02-09-2020,-,-,-,-,7.3,0
בית דגן מאוישת                                    ,2520,03-09-2020,-,-,-,-,5.2,0
בית דגן מאוישת                                    ,2520,04-09-2020,-,-,-,-,7.7,0
בית דגן מאוישת                                    ,2520,05-09-2020,-,-,-,-,6.8,0
בית דגן מאוישת                                    ,2520,06-09-2020,-,-,-,-,7.1,0
בית דגן מאוישת                                    ,2520,07-09-2020,-,-,-,-,7.8,0
בית דגן מאוישת                                    ,2520,08-09-2020,-,-,-,-,5.2,0
בית דגן מאוישת                                    ,2520,09-09-2020,-,-,-,-,6.7,0
בית דגן מאוישת                                    ,2520,10-09-2020,-,-,-,-,5.6,0
בית דגן מאוישת                                    ,2520,11-09-2020,-,-,-,-,6.7,0
בית דגן מאוישת                                    ,2520,12-09-2020,-,-,-,-,6.9,0
בית דגן מאוישת                                    ,2520,13-09-2020,-,-,-,-,6.3,0
בית דגן מאוישת                                    ,2520,14-09-2020,-,-,-,-,7.3,0
בית דגן מאוישת                                    ,2520,15-09-2020,-,-,-,-,6.4,0
בית דגן מאוישת                                    ,2520,16-09-2020,-,-,-,-,5.9,0
בית דגן מאוישת                                    ,2520,17-09-2020,-,-,-,-,5.3,0
בית דגן מאוישת                                    ,2520,18-09-2020,-,-,-,-,5.1,0
בית דגן מאוישת                                    ,2520,19-09-2020,-,-,-,-,6.2,0
בית דגן מאוישת                                    ,2520,20-09-2020,-,-,-,-,7.0,0
בית דגן מאוישת                                    ,2520,21-09-2020,-,-,-,-,6.4,0
בית דגן מאוישת                                    ,2520,22-09-2020,-,-,-,-,5.5,0
בית דגן מאוישת                                    ,2520,23-09-2020,-,-,-,-,6.4,0
בית דגן מאוישת                                    ,2520,24-09-2020,-,-,-,-,5.7,0
בית דגן מאוישת                                    ,2520,25-09-2020,-,-,-,-,5.6,0
בית דגן מאוישת                                    ,2520,26-09-2020,-,-,-,-,5.7,0
בית דגן מאוישת                                    ,2520,27-09-2020,-,-,-,-,-,1
בית דגן מאוישת                                    ,2520,28-09-2020,-,-,-,-,11.4,2
בית דגן מאוישת                                    ,2520,29-09-2020,-,-,-,-,4.9,0
בית דגן מאוישת                                    ,2520,30-09-2020,-,-,-,-,5.0,0
בית דגן מאוישת                                    ,2520,01-10-2020,-,-,-,-,6.1,0
בית דגן מאוישת                                    ,2520,02-10-2020,-,-,-,-,5.5,0
בית דגן מאוישת                                    ,2520,03-10-2020,-,-,-,-,6.7,0
בית דגן מאוישת                                    ,2520,04-10-2020,-,-,-,-,4.5,0
בית דגן מאוישת                                    ,2520,05-10-2020,-,-,-,-,6.2,0
בית דגן מאוישת                                    ,2520,06-10-2020,-,-,-,-,5.5,0
בית דגן מאוישת                                    ,2520,07-10-2020,-,-,-,-,4.9,0
בית דגן מאוישת                                    ,2520,08-10-2020,-,-,-,-,5.3,0
בית דגן מאוישת                                    ,2520,09-10-2020,-,-,-,-,4.7,0
בית דגן מאוישת                                    ,2520,10-10-2020,-,-,-,-,4.7,0
בית דגן מאוישת                                    ,2520,11-10-2020,-,-,-,-,5.5,0
בית דגן מאוישת                                    ,2520,12-10-2020,-,-,-,-,5.1,0
בית דגן מאוישת                                    ,2520,13-10-2020,-,-,-,-,5.1,0
בית דגן מאוישת                                    ,2520,14-10-2020,-,-,-,-,4.5,0
בית דגן מאוישת                                    ,2520,15-10-2020,-,-,-,-,4.8,0
בית דגן מאוישת                                    ,2520,16-10-2020,-,-,-,-,5.4,0
בית דגן מאוישת                                    ,2520,17-10-2020,-,-,-,-,4.7,0
בית דגן מאוישת                                    ,2520,18-10-2020,-,-,-,-,4.1,0
בית דגן מאוישת                                    ,2520,19-10-2020,-,-,-,-,5.1,0
בית דגן מאוישת                                    ,2520,20-10-2020,-,-,-,-,4.4,0
בית דגן מאוישת                                    ,2520,21-10-2020,-,-,-,-,5.4,0
בית דגן מאוישת                                    ,2520,22-10-2020,-,-,-,-,4.8,0
בית דגן מאוישת                                    ,2520,23-10-2020,-,-,-,-,4.0,0
בית דגן מאוישת                                    ,2520,24-10-2020,-,-,-,-,7.1,0
בית דגן מאוישת                                    ,2520,25-10-2020,-,-,-,-,5.2,0
בית דגן מאוישת                                    ,2520,26-10-2020,-,-,-,-,3.5,0
בית דגן מאוישת                                    ,2520,27-10-2020,-,-,-,-,3.1,0
בית דגן מאוישת                                    ,2520,28-10-2020,-,-,-,-,4.1,0
בית דגן מאוישת                                    ,2520,29-10-2020,-,-,-,-,3.8,0
בית דגן מאוישת                                    ,2520,30-10-2020,-,-,-,-,3.8,0
בית דגן מאוישת                                    ,2520,31-10-2020,-,-,-,-,4.2,0
בית דגן מאוישת                                    ,2520,01-11-2020,-,-,-,-,4.0,0
בית דגן מאוישת                                    ,2520,02-11-2020,-,-,-,-,3.6,0
בית דגן מאוישת                                    ,2520,03-11-2020,-,-,-,-,3.2,0
בית דגן מאוישת                                    ,2520,04-11-2020,-,-,-,-,-,-
בית דגן מאוישת                                    ,2520,05-11-2020,-,-,-,-,-,-
בית דגן מאוישת                                    ,2520,06-11-2020,-,-,-,-,4.1,0
בית דגן מאוישת                                    ,2520,07-11-2020,-,-,-,-,3.1,0
בית דגן מאוישת                                    ,2520,08-11-2020,-,-,-,-,2.7,0
בית דגן מאוישת                                    ,2520,09-11-2020,-,-,-,-,2.7,0
בית דגן מאוישת                                    ,2520,10-11-2020,-,-,-,-,3.4,0
בית דגן מאוישת                                    ,2520,11-11-2020,-,-,-,-,2.2,0
בית דגן מאוישת                                    ,2520,12-11-2020,-,-,-,-,4.8,0
בית דגן מאוישת                                    ,2520,13-11-2020,-,-,-,-,4.4,0
בית דגן מאוישת                                    ,2520,14-11-2020,-,-,-,-,-,-
בית דגן מאוישת                                    ,2520,15-11-2020,-,-,-,-,2.5,0
בית דגן מאוישת                                    ,2520,16-11-2020,-,-,-,-,2.4,0
בית דגן מאוישת                                    ,2520,17-11-2020,-,-,-,-,3.0,0
בית דגן מאוישת                                    ,2520,18-11-2020,-,-,-,-,4.3,0
בית דגן מאוישת                                    ,2520,19-11-2020,-,-,-,-,2.1,0
בית דגן מאוישת                                    ,2520,20-11-2020,-,-,-,-,-,-
בית דגן מאוישת                                    ,2520,21-11-2020,-,-,-,-,-,-
בית דגן מאוישת                                    ,2520,22-11-2020,-,-,-,-,3.2,0
בית דגן מאוישת                                    ,2520,23-11-2020,-,-,-,-,2.8,0
בית דגן מאוישת                                    ,2520,24-11-2020,-,-,-,-,1.5,0
בית דגן מאוישת                                    ,2520,25-11-2020,-,-,-,-,-,-
בית דגן מאוישת                                    ,2520,26-11-2020,-,-,-,-,-,-
בית דגן מאוישת                                    ,2520,27-11-2020,-,-,-,-,1.7,0
בית דגן מאוישת                                    ,2520,28-11-2020,-,-,-,-,1.7,0
בית דגן מאוישת                                    ,2520,29-11-2020,-,-,-,-,2.1,0
בית דגן מאוישת                                    ,2520,30-11-2020,-,-,-,-,1.7,0
בית דגן מאוישת                                    ,2520,01-12-2020,-,-,-,-,2.2,0
בית דגן מאוישת                                    ,2520,02-12-2020,-,-,-,-,1.0,0
בית דגן מאוישת                                    ,2520,03-12-2020,-,-,-,-,3.2,0
בית דגן מאוישת                                    ,2520,04-12-2020,-,-,-,-,-,-
בית דגן מאוישת                                    ,2520,05-12-2020,-,-,-,-,1.5,0
בית דגן מאוישת                                    ,2520,06-12-2020,-,-,-,-,1.6,0
בית דגן מאוישת                                    ,2520,07-12-2020,-,-,-,-,1.8,0
בית דגן מאוישת                                    ,2520,08-12-2020,-,-,-,-,0.7,0
בית דגן מאוישת                                    ,2520,09-12-2020,-,-,-,-,3.5,0
בית דגן מאוישת                                    ,2520,10-12-2020,-,-,-,-,2.4,0
בית דגן מאוישת                                    ,2520,11-12-2020,-,-,-,-,2.1,0
בית דגן מאוישת                                    ,2520,12-12-2020,-,-,-,-,0.6,0
בית דגן מאוישת                                    ,2520,13-12-2020,-,-,-,-,3.3,0
בית דגן מאוישת                                    ,2520,14-12-2020,-,-,-,-,-,-
בית דגן מאוישת                                    ,2520,15-12-2020,-,-,-,-,-,-
בית דגן מאוישת                                    ,2520,16-12-2020,-,-,-,-,-,-
בית דגן מאוישת                                    ,2520,17-12-2020,-,-,-,-,-,-
בית דגן מאוישת                                    ,2520,18-12-2020,-,-,-,-,3.1,0
בית דגן מאוישת                                    ,2520,19-12-2020,-,-,-,-,1.8,0
בית דגן מאוישת                                    ,2520,20-12-2020,-,-,-,-,1.7,0
