שם תחנה,מספר תחנה,תאריך,שעה-LST,טמפרטורה(C°),טמפרטורה לחה(C°),טמפרטורת נקודת הטל(C°),לחות יחסית(%),מהירות הרוח(m/s),כיוון הרוח(מעלות),לחץ בגובה התחנה(hPa),לחץ בגובה פני הים(hPa),כמות עננים כוללת(קוד),כמות עננים נמוכים(קוד),גובה בסיס עננים נמוכים(קוד),סוג העננים הנמוכים(קוד),סוג העננים הבינוניים(קוד),סוג העננים הגבוהים(קוד),מזג אוויר נוכחי(קוד),מזג אוויר שחלף(קוד),ראות אפקית(קוד)
בית דגן                                           ,2523,05-01-2020,02:00,11.1,10.9,10.6,97,1.9,171,1011.7,1015.5,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,05-01-2020,05:00,11.3,11.1,10.8,97,3.8,230,1011.9,1015.7,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,05-01-2020,08:00,11.1,10.0,8.8,86,4.9,189,1013.1,1016.9,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,05-01-2020,11:00,13.5,11.3,9.1,75,5.5,197,1012.9,1016.6,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,05-01-2020,14:00,15.3,12.3,9.4,68,7.8,222,1011.4,1015.1,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,05-01-2020,17:00,15.1,12.4,9.9,71,4.5,233,1012.2,1015.9,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,05-01-2020,20:00,13.7,11.2,8.7,72,3.2,180,1012.9,1016.6,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,05-01-2020,23:00,12.4,9.6,6.4,67,4.9,189,1012.8,1016.6,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,06-01-2020,02:00,8.6,7.2,5.5,81,1.6,170,1013.1,1016.9,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,06-01-2020,05:00,10.9,7.4,2.7,57,4.0,177,1012.3,1016.1,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,06-01-2020,08:00,12.0,8.2,3.2,55,3.7,161,1013.6,1017.4,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,06-01-2020,11:00,16.4,10.4,3.4,42,5.1,186,1013.0,1016.7,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,06-01-2020,14:00,17.6,11.8,5.5,45,3.6,196,1011.1,1014.8,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,06-01-2020,17:00,15.1,9.7,3.2,45,3.2,195,1011.2,1014.9,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,06-01-2020,20:00,10.6,8.4,6.0,73,2.2,92,1011.8,1015.6,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,06-01-2020,23:00,11.9,8.1,3.1,55,4.0,176,1011.6,1015.4,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,07-01-2020,02:00,12.5,7.9,1.7,48,4.1,167,1011.4,1015.2,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,07-01-2020,05:00,12.0,7.6,1.6,49,4.3,174,1010.7,1014.5,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,07-01-2020,08:00,13.2,8.8,3.5,52,5.6,173,1011.4,1015.1,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,07-01-2020,11:00,17.5,11.4,4.7,43,6.6,208,1010.7,1014.4,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,07-01-2020,14:00,15.1,11.5,7.8,62,6.9,251,1009.8,1013.5,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,07-01-2020,17:00,13.0,10.7,8.5,74,3.4,220,1010.5,1014.2,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,07-01-2020,20:00,14.0,9.2,3.1,48,5.3,208,1011.4,1015.1,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,07-01-2020,23:00,12.0,8.3,3.7,57,5.9,186,1011.0,1014.8,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,08-01-2020,02:00,11.0,7.4,2.5,56,6.6,190,1010.8,1014.6,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,08-01-2020,05:00,10.6,7.1,2.4,57,8.0,187,1009.4,1013.2,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,08-01-2020,08:00,10.9,7.6,3.4,60,7.9,190,1010.1,1013.9,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,08-01-2020,11:00,13.8,9.9,5.4,57,8.5,206,1009.5,1013.2,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,08-01-2020,14:00,14.7,11.3,7.9,64,8.7,228,1008.0,1011.7,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,08-01-2020,17:00,14.1,12.2,10.5,79,9.7,236,1008.4,1012.1,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,08-01-2020,20:00,13.8,12.2,10.8,82,8.3,262,1009.4,1013.1,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,08-01-2020,23:00,12.8,11.5,10.3,85,7.1,198,1009.4,1013.1,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,09-01-2020,02:00,10.7,10.3,9.9,95,3.6,187,1010.0,1013.8,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,09-01-2020,05:00,9.9,9.6,9.3,96,5.0,177,1009.1,1012.9,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,09-01-2020,08:00,10.1,9.3,8.5,90,5.7,190,1009.9,1013.7,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,09-01-2020,11:00,10.0,9.5,8.9,93,3.9,174,1010.3,1014.1,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,09-01-2020,14:00,10.2,9.9,9.6,96,3.8,169,1008.9,1012.7,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,09-01-2020,17:00,10.5,10.2,9.9,96,3.5,175,1009.7,1013.5,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,09-01-2020,20:00,10.3,10.1,10.0,98,1.9,228,1010.2,1014.0,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,09-01-2020,23:00,9.9,9.6,9.3,96,3.5,180,1009.6,1013.4,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,10-01-2020,02:00,9.6,9.4,9.3,98,3.3,174,1009.1,1012.9,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,10-01-2020,05:00,9.1,8.9,8.6,97,1.3,132,1009.1,1012.9,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,10-01-2020,08:00,9.3,9.0,8.7,96,3.2,164,1011.0,1014.8,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,10-01-2020,11:00,11.1,10.3,9.5,90,2.6,159,1012.4,1016.2,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,10-01-2020,14:00,13.2,11.0,8.9,75,0.9,177,1011.9,1015.6,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,10-01-2020,17:00,12.7,10.8,9.0,78,1.6,305,1013.4,1017.2,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,10-01-2020,20:00,9.2,8.8,8.4,95,1.8,126,1015.5,1019.3,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,10-01-2020,23:00,8.0,7.7,7.4,96,0.9,157,1016.4,1020.2,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,11-01-2020,02:00,7.0,6.8,6.6,97,1.1,132,1017.4,1021.3,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,11-01-2020,05:00,6.5,6.4,6.2,98,2.3,105,1018.1,1022.0,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,11-01-2020,08:00,7.8,7.8,7.8,100,1.3,117,1019.9,1023.8,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,11-01-2020,11:00,15.6,12.7,9.9,69,1.6,194,1019.8,1023.5,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,11-01-2020,14:00,17.4,12.6,7.7,53,2.7,301,1018.2,1021.9,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,11-01-2020,17:00,14.9,12.1,9.5,70,2.0,214,1019.7,1023.5,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,11-01-2020,20:00,11.1,10.1,9.2,88,1.1,183,1020.9,1024.7,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,11-01-2020,23:00,9.9,9.5,9.1,95,1.4,111,1021.0,1024.8,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,12-01-2020,02:00,8.5,8.3,8.1,97,1.4,87,1020.5,1024.3,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,12-01-2020,05:00,9.3,9.0,8.7,96,1.2,82,1019.9,1023.7,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,12-01-2020,08:00,11.0,10.1,9.3,89,1.1,122,1020.0,1023.8,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,12-01-2020,11:00,15.7,12.6,9.6,67,4.0,207,1019.9,1023.6,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,12-01-2020,14:00,17.7,12.7,7.7,52,4.6,244,1018.2,1021.9,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,12-01-2020,17:00,15.4,11.7,7.9,61,3.7,232,1018.2,1021.9,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,12-01-2020,20:00,13.5,12.2,11.0,85,2.7,105,1018.5,1022.3,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,12-01-2020,23:00,12.1,11.7,11.3,95,1.0,108,1018.7,1022.5,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,13-01-2020,02:00,11.2,11.0,10.7,97,1.3,130,1018.2,1022.0,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,13-01-2020,05:00,11.8,11.0,10.2,90,2.0,195,1017.9,1021.7,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,13-01-2020,08:00,12.8,11.6,10.3,85,3.7,188,1018.7,1022.5,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,13-01-2020,11:00,14.7,13.3,12.0,84,2.7,186,1019.0,1022.8,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,13-01-2020,14:00,17.8,14.8,12.2,70,2.3,288,1017.5,1021.2,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,13-01-2020,17:00,16.0,14.0,12.4,79,2.1,252,1017.5,1021.2,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,13-01-2020,20:00,12.4,11.9,11.5,94,1.3,106,1019.3,1023.1,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,13-01-2020,23:00,10.6,10.4,10.1,97,1.7,135,1019.7,1023.5,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,14-01-2020,02:00,10.1,9.9,9.8,98,1.6,92,1019.4,1023.2,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,14-01-2020,05:00,9.1,9.0,9.0,99,1.7,100,1019.6,1023.4,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,14-01-2020,08:00,10.5,10.4,10.4,99,1.0,110,1020.4,1024.2,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,14-01-2020,11:00,17.8,13.9,10.4,62,2.0,51,1019.8,1023.5,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,14-01-2020,14:00,18.4,13.0,7.7,50,-,-,1017.9,1021.6,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,14-01-2020,17:00,17.2,12.4,7.5,53,1.1,66,1018.3,1022.0,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,14-01-2020,20:00,14.0,11.7,9.4,74,2.5,38,1018.8,1022.6,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,14-01-2020,23:00,12.3,10.4,8.6,78,1.7,14,1017.6,1021.4,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,15-01-2020,02:00,12.3,10.9,9.5,83,0.9,12,1016.6,1020.4,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,15-01-2020,05:00,11.7,10.7,9.6,87,0.8,219,1015.8,1019.6,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,15-01-2020,08:00,11.8,10.8,9.7,87,1.4,101,1017.2,1021.0,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,15-01-2020,11:00,19.1,13.0,6.8,45,0.8,182,1015.9,1019.6,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,15-01-2020,14:00,20.0,13.8,8.0,46,3.3,324,1013.6,1017.3,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,15-01-2020,17:00,18.6,13.1,7.6,49,1.9,339,1012.9,1016.6,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,15-01-2020,20:00,14.6,12.1,9.8,73,1.2,116,1013.5,1017.2,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,15-01-2020,23:00,13.9,12.5,11.2,84,0.9,89,1013.1,1016.8,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,16-01-2020,02:00,13.1,11.9,10.8,86,0.5,294,1011.7,1015.5,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,16-01-2020,05:00,16.2,10.9,4.8,47,4.7,39,1010.2,1013.9,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,16-01-2020,08:00,16.9,10.6,3.1,40,5.5,43,1009.5,1013.2,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,16-01-2020,11:00,21.8,12.8,2.8,29,3.0,110,1007.9,1011.5,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,16-01-2020,14:00,23.6,13.1,1.0,23,3.9,124,1005.7,1009.3,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,16-01-2020,17:00,20.4,11.8,1.6,29,2.7,119,1006.3,1009.9,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,16-01-2020,20:00,17.7,14.1,11.0,65,3.8,242,1007.7,1011.4,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,16-01-2020,23:00,16.5,13.7,11.4,72,3.2,249,1008.8,1012.5,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,17-01-2020,02:00,15.3,13.4,11.7,79,2.1,195,1008.7,1012.4,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,17-01-2020,05:00,14.0,11.2,8.4,69,2.9,202,1008.6,1012.3,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,17-01-2020,08:00,13.6,10.7,7.8,68,2.7,164,1010.0,1013.7,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,17-01-2020,11:00,15.5,11.3,7.0,57,5.5,185,1009.7,1013.4,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,17-01-2020,14:00,14.0,12.1,10.4,79,4.3,195,1008.4,1012.1,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,17-01-2020,17:00,13.9,13.1,12.5,91,4.6,187,1008.4,1012.1,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,17-01-2020,20:00,14.1,13.7,13.3,95,3.6,189,1009.8,1013.5,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,17-01-2020,23:00,13.6,13.4,13.1,97,2.3,186,1010.3,1014.0,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,18-01-2020,02:00,12.8,12.6,12.5,98,1.6,148,1010.4,1014.1,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,18-01-2020,05:00,12.3,12.1,12.0,98,2.3,193,1010.5,1014.3,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,18-01-2020,08:00,12.8,12.7,12.7,99,0.8,205,1011.9,1015.7,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,18-01-2020,11:00,16.0,14.3,12.9,82,1.9,202,1012.2,1015.9,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,18-01-2020,14:00,17.6,14.1,10.9,65,3.7,261,1010.6,1014.3,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,18-01-2020,17:00,13.2,12.3,11.4,89,2.3,201,1011.6,1015.3,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,18-01-2020,20:00,12.4,11.8,11.1,92,2.7,176,1012.4,1016.2,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,18-01-2020,23:00,12.0,11.8,11.5,97,2.2,190,1012.4,1016.2,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,19-01-2020,02:00,11.5,11.3,11.0,97,4.0,157,1011.7,1015.5,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,19-01-2020,05:00,11.6,11.3,11.0,96,4.6,206,1011.7,1015.5,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,19-01-2020,08:00,11.0,10.9,10.9,99,4.0,194,1013.9,1017.7,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,19-01-2020,11:00,14.4,13.2,12.1,86,5.9,215,1013.5,1017.2,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,19-01-2020,14:00,14.1,13.0,12.0,87,5.3,220,1013.1,1016.8,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,19-01-2020,17:00,13.2,12.6,12.1,93,5.3,232,1014.9,1018.7,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,19-01-2020,20:00,13.7,13.0,12.4,92,4.2,265,1016.7,1020.5,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,19-01-2020,23:00,12.8,12.6,12.3,97,2.4,213,1017.3,1021.1,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,20-01-2020,02:00,11.9,11.7,11.6,98,1.9,190,1017.4,1021.2,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,20-01-2020,05:00,11.5,11.3,11.0,97,4.9,188,1017.4,1021.2,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,20-01-2020,08:00,11.4,11.2,11.1,98,2.2,212,1018.9,1022.7,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,20-01-2020,11:00,12.5,11.9,11.4,93,4.9,186,1019.1,1022.9,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,20-01-2020,14:00,13.3,13.0,12.7,96,4.5,241,1017.4,1021.2,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,20-01-2020,17:00,13.1,12.6,12.2,94,2.2,200,1017.4,1021.2,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,20-01-2020,20:00,14.0,11.0,8.0,67,4.0,273,1017.7,1021.5,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,20-01-2020,23:00,13.8,11.1,8.4,70,2.7,294,1017.4,1021.2,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,21-01-2020,02:00,11.0,10.1,9.3,89,2.0,4,1016.0,1019.8,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,21-01-2020,05:00,12.6,10.1,7.5,71,1.9,324,1014.3,1018.1,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,21-01-2020,08:00,9.6,8.2,6.7,82,2.5,8,1015.6,1019.4,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,21-01-2020,11:00,10.3,8.6,6.6,78,2.1,277,1016.1,1019.9,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,21-01-2020,14:00,8.8,8.1,7.2,90,1.2,44,1015.3,1019.1,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,21-01-2020,17:00,8.8,8.2,7.6,92,2.2,80,1015.7,1019.5,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,21-01-2020,20:00,8.6,8.4,8.2,97,4.2,139,1016.4,1020.2,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,21-01-2020,23:00,8.5,8.4,8.2,98,0.8,191,1016.3,1020.1,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,22-01-2020,02:00,8.8,8.7,8.7,99,0.7,31,1015.9,1019.7,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,22-01-2020,05:00,8.4,8.3,8.3,99,2.4,176,1015.6,1019.4,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,22-01-2020,08:00,8.6,8.3,8.0,96,2.9,182,1017.1,1020.9,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,22-01-2020,11:00,12.1,11.1,10.2,88,3.8,191,1017.2,1021.0,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,22-01-2020,14:00,11.0,9.8,8.6,85,0.8,134,1016.6,1020.4,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,22-01-2020,17:00,11.5,10.3,9.1,85,3.1,187,1016.7,1020.5,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,22-01-2020,20:00,9.6,9.2,8.8,95,1.8,148,1017.7,1021.5,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,22-01-2020,23:00,9.5,9.0,8.4,93,1.8,149,1018.1,1021.9,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,23-01-2020,02:00,8.5,8.0,7.4,93,1.1,115,1017.1,1020.9,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,23-01-2020,05:00,9.0,8.3,7.4,90,0.8,141,1016.6,1020.4,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,23-01-2020,08:00,10.0,8.7,7.2,83,3.4,180,1017.7,1021.5,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,23-01-2020,11:00,13.8,11.8,9.8,77,4.3,195,1017.4,1021.2,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,23-01-2020,14:00,16.2,12.1,7.9,58,4.4,267,1015.6,1019.3,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,23-01-2020,17:00,14.9,11.1,6.9,59,3.7,251,1015.3,1019.0,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,23-01-2020,20:00,14.2,11.0,7.5,64,2.8,207,1015.0,1018.7,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,23-01-2020,23:00,11.9,10.7,9.5,85,5.5,199,1013.1,1016.9,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,24-01-2020,02:00,13.9,12.7,11.6,86,5.5,233,1010.1,1013.8,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,24-01-2020,05:00,13.6,11.4,9.2,75,5.0,276,1008.5,1012.2,-,-,-,-,-,-,-,-,-
